Title,Release_Page_URL,PDF_URL,Local_PDF,Annex_Page,OCR_Text_SHA256,OCR_Characters,Extraction_Status,Error
Addendum to the Maximum retail petroleum prices in Kenya released on 14th April 2026,https://www.epra.go.ke/addendum-maximum-retail-petroleum-prices-kenya-released-14th-april-2026,https://www.epra.go.ke/sites/default/files/2026-05/Addendum%20to%20the%20Maximum%20retail%20petroleum%20prices%20in%20Kenya%20released%20on%2014th%20April%202026.pdf,tmp\epra_component_pdfs\addendum-to-the-maximum-retail-petroleum-prices-in-kenya-released-on-14t-62627b3221.pdf,10,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,Manual review required,
August 15th -14th September 2024 Pump Prices,https://www.epra.go.ke/august-15th-14th-september-2024-pump-prices,https://www.epra.go.ke/sites/default/files/2024-09/PUMP%20PRICES%2015%20AUGUST%20-%2014%20SEPTEMBER%202024_1.pdf,tmp\epra_component_pdfs\august-15th-14th-september-2024-pump-prices-ddebb88767.pdf,11,49a3d043eaedf070db88d425e080dd3f56154c9e141b629a29e03413d1cb3cde,1551,OCR complete,
Maximum Retail Prices of Petroleum Products for the period October 15 – November 14 2024,https://www.epra.go.ke/maximum-retail-prices-petroleum-products-period-october-15-november-14-2024,https://www.epra.go.ke/sites/default/files/2024-10/Maximum%20Retail%20Petroleum%20Prices%20in%20Kenya%20for%20the%20Period%2015th%20October%20to%2014th%20November%202024_0.pdf,tmp\epra_component_pdfs\maximum-retail-prices-of-petroleum-products-for-the-period-october-15-no-a20b4afb03.pdf,12,ed2a68b341364eb58f70582ee4198e1f0893f217ee00c885bcb09d787f10bc62,1583,OCR complete,
Maximum retail petroleum prices in Kenya for the period 15th April 2026 - 14th May 2026,https://www.epra.go.ke/maximum-retail-petroleum-prices-kenya-period-15th-april-2026-14th-may-2026,https://www.epra.go.ke/sites/default/files/2026-05/Maximum%20retail%20petroleum%20prices%20in%20Kenya%20for%20the%20period%2015th%20April%202026%20-%2014th%20May%202026.pdf,tmp\epra_component_pdfs\maximum-retail-petroleum-prices-in-kenya-for-the-period-15th-april-2026--e6ebdf88ac.pdf,12,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,Manual review required,
Maximum retail petroleum prices in Kenya for the period 15th April – 14th May 2025,https://www.epra.go.ke/maximum-retail-petroleum-prices-kenya-period-15th-april-14th-may-2025,https://www.epra.go.ke/sites/default/files/2025-04/Press%20Release-%20Maximum%20retail%20petroleum%20prices%20in%20Kenya%20for%20the%20period%2015th%20April%202025%20to%2014th%20May%202025.pdf,tmp\epra_component_pdfs\maximum-retail-petroleum-prices-in-kenya-for-the-period-15th-april-14th--575d8fec06.pdf,12,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,Manual review required,
Maximum retail petroleum prices in Kenya for the period 15th August – 14th September 2025,https://www.epra.go.ke/maximum-retail-petroleum-prices-kenya-period-15th-august-14th-september-2025,https://www.epra.go.ke/sites/default/files/2025-08/Pump%20price%20press%20release%2014th%20August%202025.pdf,tmp\epra_component_pdfs\maximum-retail-petroleum-prices-in-kenya-for-the-period-15th-august-14th-c2969e588b.pdf,11,0034cf67d8a29b371510f25c5dfea910c8153afbe86695499f2f2e294fff08cc,1589,OCR complete,
Maximum retail petroleum prices in Kenya for the period 15th December 2024 - 14th January 2025,https://www.epra.go.ke/maximum-retail-petroleum-prices-kenya-period-15th-december-2024-14th-january-2025,https://www.epra.go.ke/sites/default/files/2024-12/PRESS%20RELEASE%2014TH%20DECEMBER%202024_2.pdf,tmp\epra_component_pdfs\maximum-retail-petroleum-prices-in-kenya-for-the-period-15th-december-20-d202993233.pdf,11,72b904ee5b3cdfde1a044df39aa4fc81a91f9114f42d475b89426bfc80c264ef,1675,OCR complete,
Maximum retail petroleum prices in Kenya for the period 15th December 2025 to 14th January 2026,https://www.epra.go.ke/maximum-retail-petroleum-prices-kenya-period-15th-december-2025-14th-january-2026,https://www.epra.go.ke/sites/default/files/2025-12/PUMP%20PRICES%20DEC%202025-JANUARY%202026%20CYCLE.pdf,tmp\epra_component_pdfs\maximum-retail-petroleum-prices-in-kenya-for-the-period-15th-december-20-507923e24b.pdf,12,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,Manual review required,
Maximum retail petroleum prices in Kenya for the period 15th February 2025 - 14th March 2025,https://www.epra.go.ke/maximum-retail-petroleum-prices-kenya-period-15th-february-2025-14th-march-2025,https://www.epra.go.ke/sites/default/files/2025-02/Maximum%20retail%20petroleum%20prices%20in%20Kenya%20for%20the%20period%2015th%20February%202025%20-%2014th%20March%202025_0.pdf,tmp\epra_component_pdfs\maximum-retail-petroleum-prices-in-kenya-for-the-period-15th-february-20-d8b803d243.pdf,11,62f80f7480b56becabc2167ec330dc7fa6444fbfe56b49686b9b43c1472e0838,1554,OCR complete,
Maximum retail petroleum prices in Kenya for the period 15th February 2026 - 14th March 2026,https://www.epra.go.ke/maximum-retail-petroleum-prices-kenya-period-15th-february-2026-14th-march-2026,https://www.epra.go.ke/sites/default/files/2026-02/FINAL%20SIGNED%20PRESS%20RELEASE-%20FEBRUARY%202026.pdf,tmp\epra_component_pdfs\maximum-retail-petroleum-prices-in-kenya-for-the-period-15th-february-20-ce205b0800.pdf,11,e95ce924bb503005b1403b961513e11c910fe50e6799a02a3d1195da5d177e4b,1241,OCR complete,
Maximum retail petroleum prices in Kenya for the period 15th January 2025 - 14th February 2025,https://www.epra.go.ke/maximum-retail-petroleum-prices-kenya-period-15th-january-2025-14th-february-2025,https://www.epra.go.ke/sites/default/files/2025-01/Maximum%20Retail%20Petroleum%20Prices%20in%20Kenya%20for%20the%20Period%2015th%20January%20%20to%2014th%20February%202025_4.pdf,tmp\epra_component_pdfs\maximum-retail-petroleum-prices-in-kenya-for-the-period-15th-january-202-fdd282beaa.pdf,12,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,Manual review required,
Maximum retail petroleum prices in Kenya for the period 15th January 2026 - 14th February 2026,https://www.epra.go.ke/maximum-retail-petroleum-prices-kenya-period-15th-january-2026-14th-february-2026,https://www.epra.go.ke/sites/default/files/2026-01/January%202026%20petroleum%20Pump%20Price%20Press%20Release.pdf,tmp\epra_component_pdfs\maximum-retail-petroleum-prices-in-kenya-for-the-period-15th-january-202-45153d618e.pdf,11,60a0737332a0a9d77f63db6694d5ddeee9010d985054813e76eda833dafe5872,1573,OCR complete,
