Effective_From,Effective_To_Live,Town,Super_Petrol_Live,Diesel_Live,Kerosene_Live,Source_URL,Retrieved_On,Cycle,Effective_To_Local,Super_Petrol_Local,Diesel_Local,Kerosene_Local,Source_ID,Super_Petrol_Difference,Diesel_Difference,Kerosene_Difference,Match
2024-11-15,2024-12-14,Nairobi,180.66,168.06,151.39,https://www.epra.go.ke/pump-prices,2026-07-22,2024-11-01,2024-12-14,180.66,168.06,151.39,EPRA_PUMP_DB,0.0,0.0,0.0,True
2024-12-15,2025-01-14,Nairobi,176.29,165.06,148.39,https://www.epra.go.ke/pump-prices,2026-07-22,2024-12-01,2025-01-14,176.29,165.06,148.39,EPRA_PUMP_DB,0.0,0.0,0.0,True
2025-01-15,2025-02-14,Nairobi,176.58,167.06,151.39,https://www.epra.go.ke/pump-prices,2026-07-22,2025-01-01,2025-02-14,176.58,167.06,151.39,EPRA_PUMP_DB,0.0,0.0,0.0,True
2025-02-15,2025-03-14,Nairobi,176.58,167.06,151.39,https://www.epra.go.ke/pump-prices,2026-07-22,2025-02-01,2025-03-14,176.58,167.06,151.39,EPRA_PUMP_DB,0.0,0.0,0.0,True
2025-03-15,2025-04-14,Nairobi,176.58,167.06,151.39,https://www.epra.go.ke/pump-prices,2026-07-22,2025-03-01,2025-04-14,176.58,167.06,151.39,EPRA_PUMP_DB,0.0,0.0,0.0,True
2025-04-15,2025-05-14,Nairobi,174.63,164.86,148.99,https://www.epra.go.ke/pump-prices,2026-07-22,2025-04-01,2025-05-14,174.63,164.86,148.99,EPRA_PUMP_DB,0.0,0.0,0.0,True
2025-05-15,2025-06-14,Nairobi,174.63,164.86,148.99,https://www.epra.go.ke/pump-prices,2026-07-22,2025-05-01,2025-06-14,174.63,164.86,148.99,EPRA_PUMP_DB,0.0,0.0,0.0,True
2025-06-15,2025-07-14,Nairobi,177.32,162.91,146.93,https://www.epra.go.ke/pump-prices,2026-07-22,2025-06-01,2025-07-14,177.32,162.91,146.93,EPRA_PUMP_DB,0.0,0.0,0.0,True
2025-07-15,2025-08-14,Nairobi,186.31,171.58,156.58,https://www.epra.go.ke/pump-prices,2026-07-22,2025-07-01,2025-08-14,186.31,171.58,156.58,EPRA_PUMP_DB,0.0,0.0,0.0,True
2025-08-15,2025-09-14,Nairobi,185.31,171.58,155.58,https://www.epra.go.ke/pump-prices,2026-07-22,2025-08-01,2025-09-14,185.31,171.58,155.58,EPRA_PUMP_DB,0.0,0.0,0.0,True
2025-09-15,2025-10-14,Nairobi,184.52,171.47,154.78,https://www.epra.go.ke/pump-prices,2026-07-22,2025-09-01,2025-10-14,184.52,171.47,154.78,EPRA_PUMP_DB,0.0,0.0,0.0,True
2025-10-15,2025-11-14,Nairobi,184.52,171.47,154.78,https://www.epra.go.ke/pump-prices,2026-07-22,2025-10-01,2025-11-14,184.52,171.47,154.78,EPRA_PUMP_DB,0.0,0.0,0.0,True
2025-11-15,2025-12-14,Nairobi,184.52,171.47,154.78,https://www.epra.go.ke/pump-prices,2026-07-22,2025-11-01,2025-12-14,184.52,171.47,154.78,EPRA_PUMP_DB,0.0,0.0,0.0,True
2025-12-15,2026-01-14,Nairobi,184.52,171.47,154.78,https://www.epra.go.ke/pump-prices,2026-07-22,2025-12-01,2026-01-14,184.52,171.47,154.78,EPRA_PUMP_DB,0.0,0.0,0.0,True
2026-01-15,2026-02-14,Nairobi,182.52,170.47,153.78,https://www.epra.go.ke/pump-prices,2026-07-22,2026-01-01,2026-02-14,182.52,170.47,153.78,EPRA_PUMP_DB,0.0,0.0,0.0,True
2026-02-15,2026-03-14,Nairobi,178.28,166.54,152.78,https://www.epra.go.ke/pump-prices,2026-07-22,2026-02-01,2026-03-14,178.28,166.54,152.78,EPRA_PUMP_DB,0.0,0.0,0.0,True
2026-03-15,2026-04-14,Nairobi,178.28,166.54,152.78,https://www.epra.go.ke/pump-prices,2026-07-22,2026-03-01,2026-04-14,178.28,166.54,152.78,EPRA_PUMP_DB,0.0,0.0,0.0,True
2026-04-15,2026-05-14,Nairobi,206.97,206.84,152.78,https://www.epra.go.ke/pump-prices,2026-07-22,,,,,,,,,,False
2026-04-16,2026-05-14,Nairobi,197.6,196.63,152.78,https://www.epra.go.ke/pump-prices,2026-07-22,2026-04-01,2026-05-14,197.6,196.63,152.78,EPRA_APR16_2026,0.0,0.0,0.0,True
2026-05-19,2026-06-14,Nairobi,214.25,232.86,191.38,https://www.epra.go.ke/pump-prices,2026-07-22,2026-05-01,2026-06-14,214.25,232.86,191.38,EPRA_MAY19_2026,0.0,0.0,0.0,True
2026-06-15,2026-07-14,Nairobi,214.03,222.86,191.38,https://www.epra.go.ke/pump-prices,2026-07-22,2026-06-01,2026-07-14,214.03,222.86,191.38,EPRA_JUN15_2026,0.0,0.0,0.0,True
