Effective_From,Effective_To,Fuel,Landed_Cost,Distribution_Storage,Margins,Stabilization_Adjustment,Taxes_Levies,Retail_Price,Reconstructed_Price,Reconstruction_Error,Source_Title,PDF_URL,Verification_Status,Quality_Notes
2024-08-15,2024-09-14,Super Petrol,93.01,4.09,12.39,-3.40,82.75,188.84,188.84,0.00,August 15th -14th September 2024 Pump Prices,https://www.epra.go.ke/sites/default/files/2024-09/PUMP%20PRICES%2015%20AUGUST%20-%2014%20SEPTEMBER%202024_1.pdf,Reviewed and reconciled,"Official aggregate components transcribed from EPRA annex; stabilization is the signed reconciliation residual, including displayed deficit/surplus and rounding."
2024-08-15,2024-09-14,Diesel,90.98,3.75,12.36,-5.20,69.71,171.60,171.60,0.00,August 15th -14th September 2024 Pump Prices,https://www.epra.go.ke/sites/default/files/2024-09/PUMP%20PRICES%2015%20AUGUST%20-%2014%20SEPTEMBER%202024_1.pdf,Reviewed and reconciled,"Official aggregate components transcribed from EPRA annex; stabilization is the signed reconciliation residual, including displayed deficit/surplus and rounding."
2024-08-15,2024-09-14,Kerosene,93.04,3.72,12.36,-3.83,56.46,161.75,161.75,0.00,August 15th -14th September 2024 Pump Prices,https://www.epra.go.ke/sites/default/files/2024-09/PUMP%20PRICES%2015%20AUGUST%20-%2014%20SEPTEMBER%202024_1.pdf,Reviewed and reconciled,"Official aggregate components transcribed from EPRA annex; stabilization is the signed reconciliation residual, including displayed deficit/surplus and rounding."
2024-10-15,2024-11-14,Super Petrol,83.02,4.03,12.39,0.00,81.22,180.66,180.66,0.00,Maximum Retail Prices of Petroleum Products for the period October 15 – November 14 2024,https://www.epra.go.ke/sites/default/files/2024-10/Maximum%20Retail%20Petroleum%20Prices%20in%20Kenya%20for%20the%20Period%2015th%20October%20to%2014th%20November%202024_0.pdf,Reviewed and reconciled,"Official aggregate components transcribed from EPRA annex; stabilization is the signed reconciliation residual, including displayed deficit/surplus and rounding."
2024-10-15,2024-11-14,Diesel,83.08,3.72,12.36,0.00,68.90,168.06,168.06,0.00,Maximum Retail Prices of Petroleum Products for the period October 15 – November 14 2024,https://www.epra.go.ke/sites/default/files/2024-10/Maximum%20Retail%20Petroleum%20Prices%20in%20Kenya%20for%20the%20Period%2015th%20October%20to%2014th%20November%202024_0.pdf,Reviewed and reconciled,"Official aggregate components transcribed from EPRA annex; stabilization is the signed reconciliation residual, including displayed deficit/surplus and rounding."
2024-10-15,2024-11-14,Kerosene,80.80,3.67,12.36,0.01,54.55,151.39,151.39,0.00,Maximum Retail Prices of Petroleum Products for the period October 15 – November 14 2024,https://www.epra.go.ke/sites/default/files/2024-10/Maximum%20Retail%20Petroleum%20Prices%20in%20Kenya%20for%20the%20Period%2015th%20October%20to%2014th%20November%202024_0.pdf,Reviewed and reconciled,"Official aggregate components transcribed from EPRA annex; stabilization is the signed reconciliation residual, including displayed deficit/surplus and rounding."
2024-11-15,2024-12-14,Super Petrol,83.47,4.03,12.39,-0.46,81.23,180.66,180.66,0.00,Maximum retail petroleum prices in Kenya for the period 15th November to 14th December 2024,https://www.epra.go.ke/sites/default/files/2024-11/EPRA%20PRESS%20RELEASE-%20NOVEMBER%202024_1.pdf,Reviewed and reconciled,"Official aggregate components transcribed from EPRA annex; stabilization is the signed reconciliation residual, including displayed deficit/surplus and rounding."
2024-11-15,2024-12-14,Diesel,79.54,3.71,12.36,3.69,68.76,168.06,168.06,0.00,Maximum retail petroleum prices in Kenya for the period 15th November to 14th December 2024,https://www.epra.go.ke/sites/default/files/2024-11/EPRA%20PRESS%20RELEASE-%20NOVEMBER%202024_1.pdf,Reviewed and reconciled,"Official aggregate components transcribed from EPRA annex; stabilization is the signed reconciliation residual, including displayed deficit/surplus and rounding."
2024-11-15,2024-12-14,Kerosene,83.95,3.68,12.36,-3.29,54.69,151.39,151.39,0.00,Maximum retail petroleum prices in Kenya for the period 15th November to 14th December 2024,https://www.epra.go.ke/sites/default/files/2024-11/EPRA%20PRESS%20RELEASE-%20NOVEMBER%202024_1.pdf,Reviewed and reconciled,"Official aggregate components transcribed from EPRA annex; stabilization is the signed reconciliation residual, including displayed deficit/surplus and rounding."
2024-12-15,2025-01-14,Super Petrol,79.39,4.01,12.39,-0.00,80.50,176.29,176.29,0.00,Maximum retail petroleum prices in Kenya for the period 15th December 2024 - 14th January 2025,https://www.epra.go.ke/sites/default/files/2024-12/PRESS%20RELEASE%2014TH%20DECEMBER%202024_2.pdf,Reviewed and reconciled,"Official aggregate components transcribed from EPRA annex; stabilization is the signed reconciliation residual, including displayed deficit/surplus and rounding."
